loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,chargeoff_within_12_mths,pub_rec_bankruptcies,tax_liens,revol_util_missing,loan_to_income,installment_ratio,credit_age_years,loan_duration_days,high_dti_flag,high_interest_flag,target_default
25000,25000, 60 months,12.99,568.7,C,C1,Emmanuel College,8 years,MORTGAGE,70000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,017xx,MA,14.37,0,1996-05-01,0,0.0,0.0,9,0,25948,35.8,20,2013-01-01,2016-03-01,0.0,0.0,0.0,0.0,0,0.35714285714285715,0.008124285714285714,15.26027397260274,519.0,0,0,0
24000,24000, 36 months,10.99,785.62,B,B3,Keenan and Assoc.,1 year,MORTGAGE,95000.0,Verified,2011-08-01,Fully Paid,credit_card,917xx,CA,12.33,1,1992-12-01,1,12.0,0.0,22,0,10332,14.8,47,2013-04-01,2013-04-01,0.0,0.0,0.0,0.0,0,0.25263157894736843,0.008269684210526316,18.676712328767124,609.0,0,0,0
19550,19550, 36 months,15.62,683.66,D,D1,hi5 Networks,< 1 year,RENT,130000.0,Source Verified,2011-08-01,Fully Paid,credit_card,941xx,CA,7.49,0,1997-06-01,1,0.0,0.0,4,0,34565,95.7,22,2014-06-01,2014-06-01,0.0,0.0,0.0,0.0,0,0.1503846153846154,0.005258923076923077,14.175342465753424,1035.0,0,1,0
5000,5000, 36 months,6.99,154.37,A,A3,Unknown,Unknown,MORTGAGE,46800.0,Not Verified,2011-08-01,Fully Paid,major_purchase,087xx,NJ,15.72,0,1976-10-01,1,0.0,0.0,10,0,28598,36.9,25,2014-08-01,2014-08-01,0.0,0.0,0.0,0.0,0,0.10683760683760683,0.0032985042735042738,34.85479452054795,1096.0,0,0,0
31300,31300, 60 months,18.79,808.33,E,E3,"Wall Foss Financial, LLC",10+ years,MORTGAGE,73500.0,Verified,2011-08-01,Fully Paid,credit_card,338xx,FL,17.57,0,1995-09-01,2,27.0,0.0,13,0,44586,55.0,36,2014-09-01,2014-10-01,0.0,0.0,0.0,0.0,0,0.42585034013605444,0.010997687074829933,15.926027397260274,1127.0,0,1,0
15350,15350, 36 months,8.49,484.5,A,A5,"JFK HS, Montgomery County Public Schools",10+ years,MORTGAGE,80000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,210xx,MD,18.43,0,1988-04-01,0,0.0,0.0,12,0,45620,48.5,27,2013-02-01,2013-02-01,0.0,0.0,0.0,0.0,0,0.191875,0.00605625,23.34794520547945,550.0,0,0,0
11000,11000, 60 months,15.23,263.02,C,C5,belk,6 years,OWN,24000.0,Verified,2011-08-01,Fully Paid,small_business,297xx,SC,8.4,0,2004-09-01,1,0.0,0.0,6,0,2042,20.0,11,2015-12-01,2016-01-01,0.0,0.0,0.0,0.0,0,0.4583333333333333,0.010959166666666666,6.917808219178082,1583.0,0,1,0
20000,20000, 60 months,17.99,507.76,E,E1,NuCO2,7 years,MORTGAGE,131000.0,Not Verified,2011-08-01,Fully Paid,credit_card,301xx,GA,15.44,0,1992-06-01,1,0.0,0.0,12,0,48418,94.9,25,2014-11-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.15267175572519084,0.003876030534351145,19.17808219178082,1188.0,0,1,0
24000,24000, 36 months,11.49,791.32,B,B4,Verizon Wieless,6 years,MORTGAGE,85000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,604xx,IL,11.77,0,1995-09-01,1,24.0,0.0,11,0,11129,50.4,38,2014-08-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.2823529411764706,0.00930964705882353,15.926027397260274,1096.0,0,0,0
2875,2875, 36 months,7.49,89.42,A,A4,PWC,< 1 year,RENT,66000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,191xx,PA,21.6,0,2001-10-01,0,0.0,0.0,14,0,8653,48.1,30,2014-08-01,2014-08-01,0.0,0.0,0.0,0.0,0,0.043560606060606064,0.0013548484848484848,9.838356164383562,1096.0,1,0,0
35000,35000, 60 months,10.99,760.82,B,B3,Unknown,10+ years,MORTGAGE,168000.0,Source Verified,2011-08-01,Current,credit_card,926xx,CA,14.35,0,2064-10-01,0,0.0,0.0,9,0,49843,22.9,21,2016-05-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.20833333333333334,0.004528690476190476,-53.205479452054796,1735.0,0,0,0
33950,33950, 60 months,11.99,755.03,B,B5,Penn State University,10+ years,MORTGAGE,65760.0,Verified,2011-08-01,Fully Paid,home_improvement,168xx,PA,6.22,0,1996-11-01,0,0.0,0.0,12,0,15951,21.9,37,2013-07-01,2013-07-01,0.0,0.0,0.0,0.0,0,0.5162712895377128,0.011481599756690997,14.756164383561643,700.0,0,0,0
4800,4800, 60 months,22.85,134.91,G,G3,KForce,< 1 year,RENT,105000.0,Source Verified,2011-08-01,Charged Off,car,221xx,VA,7.51,0,2001-09-01,3,43.0,0.0,4,0,981,98.1,12,2014-06-01,2014-10-01,0.0,0.0,0.0,0.0,0,0.045714285714285714,0.001284857142857143,9.92054794520548,1035.0,0,1,1
7000,7000, 36 months,11.49,230.8,B,B4,Sherwin Williams,10+ years,OWN,65000.0,Not Verified,2011-08-01,Fully Paid,debt_consolidation,660xx,KS,9.56,0,1998-04-01,0,0.0,0.0,6,0,28672,82.9,22,2012-02-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.1076923076923077,0.003550769230769231,13.342465753424657,184.0,0,0,0
30000,30000, 60 months,18.39,768.19,E,E2,Triump Aerostructures Vought aircraft ,10+ years,MORTGAGE,100000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,935xx,CA,10.75,0,1998-06-01,0,80.0,0.0,11,0,31626,59.4,37,2016-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.3,0.0076819,13.175342465753424,1614.0,0,1,0
12000,12000, 36 months,5.99,365.01,A,A2,Unknown,10+ years,MORTGAGE,35000.0,Verified,2011-08-01,Fully Paid,major_purchase,548xx,WI,11.21,0,1991-10-01,0,0.0,0.0,7,0,1017,4.2,20,2012-06-01,2015-08-01,0.0,0.0,0.0,0.0,0,0.34285714285714286,0.010428857142857142,19.846575342465755,305.0,0,0,0
35000,35000, 60 months,18.39,896.22,E,E2,TSYS,10+ years,MORTGAGE,53000.0,Verified,2011-08-01,Charged Off,small_business,368xx,AL,10.19,0,1999-07-01,0,0.0,0.0,9,0,36328,93.4,20,2014-07-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.660377358490566,0.016909811320754718,12.093150684931507,1065.0,0,1,1
4050,4050, 36 months,9.99,130.67,B,B1,CBS Films,2 years,RENT,82000.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,900xx,CA,23.13,0,1985-12-01,1,0.0,0.0,18,0,19201,56.8,47,2014-08-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.04939024390243903,0.0015935365853658534,25.682191780821917,1096.0,1,0,0
21600,21600, 60 months,19.29,563.77,E,E4,Associate Insurance Agency,10+ years,RENT,91140.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,775xx,TX,10.72,0,1996-09-01,1,86.0,0.0,6,0,15828,95.9,15,2013-04-01,2014-07-01,0.0,0.0,0.0,0.0,0,0.2369980250164582,0.0061857581742374365,14.923287671232877,609.0,0,1,0
7000,7000, 36 months,11.99,232.47,B,B5,Schneider Electric,1 year,MORTGAGE,87996.0,Source Verified,2011-08-01,Fully Paid,other,799xx,TX,7.16,1,1980-09-01,0,19.0,0.0,6,0,797,21.0,31,2012-06-01,2015-01-01,0.0,0.0,0.0,0.0,0,0.07954907041229146,0.0026418246283921995,30.934246575342467,305.0,0,0,0
12000,12000, 60 months,15.99,291.76,D,D2,Ajax TOCCO Magnethermic,9 years,MORTGAGE,95000.0,Not Verified,2011-08-01,Current,major_purchase,480xx,MI,14.72,0,1999-02-01,2,24.0,0.0,6,0,3441,43.6,15,2016-05-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.12631578947368421,0.003071157894736842,12.504109589041096,1735.0,0,1,0
10625,10625, 36 months,9.99,342.79,B,B1,Wells Fargo,5 years,RENT,39000.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,198xx,DE,29.2,0,2000-10-01,1,0.0,0.0,5,0,9816,58.8,20,2012-12-01,2012-12-01,0.0,0.0,0.0,0.0,0,0.2724358974358974,0.00878948717948718,10.838356164383562,488.0,1,0,0
20400,20400, 60 months,17.49,512.39,D,D5,pa state,10+ years,OWN,80000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,178xx,PA,18.57,0,1994-06-01,2,0.0,0.0,15,0,21189,67.3,56,2011-11-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.255,0.006404875,17.17808219178082,92.0,0,1,0
3025,3025, 36 months,11.49,99.74,B,B4,Unknown,Unknown,RENT,17436.0,Not Verified,2011-08-01,Fully Paid,debt_consolidation,990xx,WA,20.92,0,1983-01-01,3,0.0,0.0,5,0,13187,89.7,23,2014-08-01,2014-08-01,0.0,0.0,0.0,0.0,0,0.173491626519844,0.005720348703831154,28.6,1096.0,1,0,0
3500,3500, 36 months,11.49,115.4,B,B4,port st lucie nursing and restorative ce,5 years,MORTGAGE,51621.0,Not Verified,2011-08-01,Fully Paid,medical,349xx,FL,19.95,0,1994-10-01,1,0.0,0.0,8,0,24020,90.0,26,2014-10-01,2014-10-01,0.0,0.0,0.0,0.0,0,0.06780186358265047,0.002235524302125104,16.843835616438355,1157.0,0,0,0
16000,16000, 60 months,16.89,396.7,D,D4,crump ins srvs,5 years,RENT,31200.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,103xx,NY,15.08,0,2002-11-01,1,0.0,0.0,9,0,13788,75.8,15,2012-06-01,2014-06-01,0.0,0.0,0.0,0.0,0,0.5128205128205128,0.01271474358974359,8.753424657534246,305.0,0,1,0
30000,30000, 36 months,18.39,1090.46,E,E2,ERPandERP Corp,1 year,RENT,54000.0,Verified,2011-08-01,Fully Paid,major_purchase,282xx,NC,10.64,0,2007-03-01,1,0.0,0.0,6,0,3320,16.9,10,2014-02-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.5555555555555556,0.020193703703703703,4.421917808219178,915.0,0,1,0
10000,10000, 36 months,16.89,355.99,D,D4,Florida Hospital Kissimmee,10+ years,RENT,49000.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,347xx,FL,23.39,1,1997-02-01,1,19.0,0.0,11,0,11896,54.8,35,2013-11-01,2013-11-01,0.0,0.0,0.0,0.0,0,0.20408163265306123,0.007265102040816327,14.504109589041096,823.0,1,1,0
10800,10800, 36 months,5.42,325.73,A,A1,Honeywell Int.,10+ years,MORTGAGE,117000.0,Not Verified,2011-08-01,Fully Paid,home_improvement,346xx,FL,10.94,0,1991-11-01,0,0.0,0.0,16,0,9744,19.7,41,2013-03-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.09230769230769231,0.002784017094017094,19.76164383561644,578.0,0,0,0
30000,30000, 36 months,8.49,946.89,A,A5,GE Healthcare,10+ years,MORTGAGE,96636.0,Verified,2011-08-01,Fully Paid,small_business,532xx,WI,0.21,0,2003-04-01,0,0.0,0.0,5,0,550,2.0,14,2014-08-01,2014-08-01,0.0,0.0,0.0,0.0,0,0.3104433130510369,0.009798522289829878,8.33972602739726,1096.0,0,0,0
7550,7550, 36 months,16.89,268.77,D,D4,Miller's Grand Events,8 years,RENT,34560.0,Not Verified,2011-08-01,Charged Off,other,365xx,AL,21.94,0,2004-01-01,1,67.0,0.0,2,0,1989,79.6,8,2012-09-01,2013-02-01,0.0,0.0,0.0,0.0,0,0.21846064814814814,0.0077769097222222215,7.586301369863014,397.0,1,1,1
5550,5550, 36 months,8.49,175.18,A,A5,CenturyLink,10+ years,MORTGAGE,80000.0,Not Verified,2011-08-01,Fully Paid,renewable_energy,802xx,CO,26.89,0,1991-10-01,2,66.0,0.0,16,0,45668,51.9,59,2013-03-01,2015-09-01,0.0,0.0,0.0,0.0,0,0.069375,0.0021897500000000003,19.846575342465755,578.0,1,0,0
14675,14675, 60 months,16.89,363.85,D,D4,Ron LeMaster Insurance,< 1 year,RENT,25164.0,Source Verified,2011-08-01,Charged Off,debt_consolidation,411xx,KY,19.41,0,2000-10-01,1,0.0,0.0,4,0,2421,96.8,8,2012-02-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.5831743760928311,0.014459147989190908,10.838356164383562,184.0,0,1,1
15000,15000, 60 months,15.23,358.67,C,C5,Sparta Township Board of Education,3 years,MORTGAGE,99000.0,Source Verified,2011-08-01,Charged Off,debt_consolidation,078xx,NJ,11.84,0,1996-03-01,2,0.0,0.0,13,0,23216,35.4,34,2012-03-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.15151515151515152,0.0036229292929292932,15.427397260273972,213.0,0,1,1
14000,14000, 60 months,16.89,347.11,D,D4,ZF Lemforder,8 years,MORTGAGE,50000.0,Not Verified,2011-08-01,Fully Paid,other,293xx,SC,20.33,1,1984-01-01,1,8.0,110.0,11,1,14969,46.2,30,2014-12-01,2015-01-01,0.0,0.0,1.0,0.0,0,0.28,0.0069422,27.6,1218.0,1,1,0
15000,15000, 36 months,6.99,463.09,A,A3,Unknown,Unknown,OWN,72000.0,Verified,2011-08-01,Fully Paid,credit_card,902xx,CA,24.42,0,1974-08-01,2,0.0,0.0,17,0,29225,34.3,47,2014-08-01,2014-08-01,0.0,0.0,0.0,0.0,0,0.20833333333333334,0.006431805555555555,37.02465753424657,1096.0,1,0,0
28800,28800, 36 months,7.49,895.73,A,A4,GameFly,1 year,RENT,89000.0,Verified,2011-08-01,Fully Paid,major_purchase,900xx,CA,4.27,0,1994-08-01,0,0.0,0.0,13,0,351,1.0,21,2014-05-01,2014-05-01,0.0,0.0,0.0,0.0,0,0.3235955056179775,0.01006438202247191,17.01095890410959,1004.0,0,0,0
22875,22875, 60 months,14.79,541.68,C,C4,Wellstar health system,6 years,MORTGAGE,80000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,301xx,GA,27.33,0,1988-05-01,1,0.0,0.0,11,0,69812,58.6,28,2013-03-01,2013-03-01,0.0,0.0,0.0,0.0,0,0.2859375,0.006770999999999999,23.265753424657536,578.0,1,0,0
14000,14000, 36 months,16.89,498.38,D,D4,kforce inc,1 year,RENT,122400.0,Verified,2011-08-01,Fully Paid,credit_card,940xx,CA,18.22,0,2001-02-01,0,0.0,0.0,12,0,42264,79.3,26,2014-08-01,2015-01-01,0.0,0.0,0.0,0.0,0,0.11437908496732026,0.004071732026143791,10.501369863013698,1096.0,0,1,0
14000,14000, 60 months,10.59,301.54,B,B2,Tj Maxx,10+ years,RENT,32256.0,Verified,2011-08-01,Current,debt_consolidation,940xx,CA,12.2,0,1996-02-01,0,0.0,0.0,12,0,11865,23.8,31,2016-05-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.4340277777777778,0.009348338293650794,15.506849315068493,1735.0,0,0,0
6400,6400, 60 months,19.29,167.05,E,E4,Orange Lake CC and Resort,5 years,RENT,29004.0,Not Verified,2011-08-01,Charged Off,debt_consolidation,347xx,FL,11.25,0,1999-06-01,1,30.0,0.0,4,0,9245,89.8,6,2012-10-01,2013-03-01,0.0,0.0,0.0,0.0,0,0.2206592194180113,0.005759550406840436,12.175342465753424,427.0,0,1,1
14500,14500, 60 months,15.99,352.54,D,D2,Educational Employees Credit Union,4 years,MORTGAGE,24996.0,Verified,2011-08-01,Fully Paid,other,762xx,TX,15.36,0,2003-09-01,2,67.0,0.0,12,0,27,0.2,23,2012-01-01,2012-01-01,0.0,0.0,0.0,0.0,0,0.5800928148503761,0.01410385661705873,7.920547945205479,153.0,0,1,0
5600,5600, 36 months,7.49,174.17,A,A4,Yakima Valley Credit Union,2 years,RENT,30996.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,989xx,WA,24.74,0,2000-09-01,1,0.0,0.0,6,0,2454,31.5,15,2012-11-01,2016-02-01,0.0,0.0,0.0,0.0,0,0.18066847335140018,0.005619112143502387,10.92054794520548,458.0,1,0,0
2000,2000, 36 months,11.99,66.42,B,B5,Wesco Aircraft,5 years,MORTGAGE,64800.0,Not Verified,2011-08-01,Fully Paid,credit_card,935xx,CA,5.81,0,2005-11-01,0,0.0,0.0,8,0,17864,69.3,10,2014-08-01,2014-08-01,0.0,0.0,0.0,0.0,0,0.030864197530864196,0.001025,5.750684931506849,1096.0,0,0,0
10000,10000, 36 months,10.99,327.34,B,B3,Gwinnett County Public Schools,3 years,MORTGAGE,50000.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,300xx,GA,16.51,1,1997-03-01,0,22.0,0.0,15,0,10753,33.5,36,2013-06-01,2016-02-01,0.0,0.0,0.0,0.0,0,0.2,0.006546799999999999,14.427397260273972,670.0,0,0,0
6000,6000, 36 months,5.42,180.96,A,A1,thermospas,10+ years,MORTGAGE,55000.0,Not Verified,2011-08-01,Fully Paid,debt_consolidation,067xx,CT,8.49,0,1995-04-01,0,0.0,0.0,8,0,0,0.0,24,2014-08-01,2014-08-01,0.0,0.0,0.0,0.0,0,0.10909090909090909,0.0032901818181818184,16.345205479452055,1096.0,0,0,0
2100,2100, 36 months,9.99,67.76,B,B1,PSA Airlines,6 years,MORTGAGE,54000.0,Not Verified,2011-08-01,Fully Paid,other,450xx,OH,8.89,0,1993-10-01,1,68.0,61.0,13,1,10002,36.9,22,2014-08-01,2014-08-01,0.0,0.0,0.0,0.0,0,0.03888888888888889,0.001254814814814815,17.843835616438355,1096.0,0,0,0
20000,20000, 60 months,11.49,439.76,B,B4,Newell Rubbermaid,10+ years,MORTGAGE,159000.0,Verified,2011-08-01,Current,home_improvement,300xx,GA,5.61,0,1998-04-01,1,0.0,0.0,9,0,4436,8.7,17,2016-05-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.12578616352201258,0.0027657861635220124,13.342465753424657,1735.0,0,0,0
35000,35000, 60 months,20.25,932.17,F,F1,Unknown,Unknown,RENT,81000.0,Verified,2011-08-01,Charged Off,debt_consolidation,207xx,MD,15.97,0,1994-08-01,1,0.0,0.0,6,0,26485,79.3,9,2014-12-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.43209876543209874,0.011508271604938272,17.01095890410959,1218.0,0,1,1
4500,4500, 36 months,17.99,162.67,E,E1,Wellspring Healthcare Services,3 years,RENT,23421.0,Not Verified,2011-08-01,Fully Paid,debt_consolidation,915xx,CA,13.53,1,1997-11-01,0,23.0,0.0,3,0,4980,99.6,11,2014-08-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.19213526322531063,0.006945476281969173,13.756164383561643,1096.0,0,1,0
14800,14800, 60 months,17.99,375.75,E,E1,Shaw Saab,7 years,RENT,72000.0,Source Verified,2011-08-01,Fully Paid,medical,023xx,MA,0.98,0,1996-08-01,1,55.0,0.0,5,0,3103,88.7,12,2014-03-01,2015-12-01,0.0,0.0,0.0,0.0,0,0.20555555555555555,0.00521875,15.008219178082191,943.0,0,1,0
29000,29000, 60 months,20.99,784.39,F,F3,Academic Institution,5 years,MORTGAGE,135000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,190xx,PA,18.33,0,1997-10-01,2,0.0,0.0,17,0,27769,84.4,33,2012-07-01,2015-05-01,0.0,0.0,0.0,0.0,0,0.21481481481481482,0.005810296296296296,13.841095890410958,335.0,0,1,0
14125,14125, 60 months,15.23,337.75,C,C5,Terracon Consulting,5 years,RENT,32400.0,Not Verified,2011-08-01,Fully Paid,debt_consolidation,630xx,MO,20.3,0,2001-12-01,1,0.0,0.0,7,0,11275,78.8,8,2013-11-01,2013-12-01,0.0,0.0,0.0,0.0,0,0.4359567901234568,0.010424382716049382,9.67123287671233,823.0,1,1,0
24500,24500, 60 months,19.29,639.46,E,E4,United Electric,5 years,MORTGAGE,60000.0,Verified,2011-08-01,Current,debt_consolidation,439xx,OH,12.82,0,1998-12-01,0,0.0,0.0,8,0,19343,52.6,18,2016-05-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.4083333333333333,0.010657666666666668,12.673972602739726,1735.0,0,1,0
9000,9000, 36 months,8.49,284.07,A,A5,Diversified ,3 years,RENT,60000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,074xx,NJ,15.02,0,2003-07-01,0,0.0,0.0,13,0,13765,22.9,20,2013-07-01,2015-12-01,0.0,0.0,0.0,0.0,0,0.15,0.0047345,8.09041095890411,700.0,0,0,0
20000,20000, 60 months,10.99,434.75,B,B3,MDT Personnel,5 years,MORTGAGE,45000.0,Verified,2011-08-01,Current,debt_consolidation,276xx,NC,14.13,0,1996-02-01,0,47.0,0.0,7,0,61,0.5,23,2016-05-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.4444444444444444,0.009661111111111112,15.506849315068493,1735.0,0,0,0
23075,23075, 60 months,14.79,546.42,C,C4,"RE/MAX, LLC",4 years,MORTGAGE,130000.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,801xx,CO,5.04,0,1999-09-01,3,0.0,0.0,6,0,19171,65.7,14,2014-01-01,2014-01-01,0.0,0.0,0.0,0.0,0,0.1775,0.004203230769230769,11.923287671232877,884.0,0,0,0
28000,28000, 36 months,16.49,991.19,D,D3,Unknown,8 years,MORTGAGE,240000.0,Source Verified,2011-08-01,Fully Paid,small_business,489xx,MI,3.77,0,2001-02-01,2,0.0,0.0,14,0,14194,39.1,17,2014-03-01,2015-11-01,0.0,0.0,0.0,0.0,0,0.11666666666666667,0.004129958333333334,10.501369863013698,943.0,0,1,0
5100,5100, 36 months,10.99,166.95,B,B3,Tamms Correctional Center,10+ years,MORTGAGE,58800.0,Not Verified,2011-08-01,Fully Paid,home_improvement,629xx,IL,23.82,0,1999-12-01,0,43.0,0.0,9,0,8777,69.7,35,2014-06-01,2014-07-01,0.0,0.0,0.0,0.0,0,0.08673469387755102,0.002839285714285714,11.673972602739726,1035.0,1,0,0
14400,14400, 60 months,10.99,313.02,B,B3,Muncy home Inc,10+ years,MORTGAGE,59000.0,Not Verified,2011-08-01,Fully Paid,credit_card,177xx,PA,15.95,0,1994-05-01,2,0.0,0.0,11,0,10557,26.5,38,2013-02-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.2440677966101695,0.005305423728813559,17.263013698630136,550.0,0,0,0
10000,10000, 36 months,10.59,325.45,B,B2,Unknown,Unknown,OWN,20856.0,Verified,2011-08-01,Fully Paid,house,619xx,IL,10.82,0,1989-12-01,1,0.0,0.0,11,0,5752,21.1,23,2012-08-01,2013-10-01,0.0,0.0,0.0,0.0,0,0.4794783275795934,0.015604622171077867,21.67945205479452,366.0,0,0,0
7200,7200, 36 months,10.99,235.69,B,B3,Bank of Texas,5 years,RENT,61490.0,Verified,2011-08-01,Fully Paid,debt_consolidation,750xx,TX,19.32,0,1997-12-01,0,0.0,0.0,11,0,1400,29.2,24,2014-08-01,2015-09-01,0.0,0.0,0.0,0.0,0,0.11709221011546593,0.003832980972515856,13.673972602739726,1096.0,0,0,0
3000,3000, 36 months,11.99,99.63,B,B5,Bank of America,10+ years,MORTGAGE,133000.0,Verified,2011-08-01,Fully Paid,credit_card,027xx,MA,16.36,0,1990-09-01,0,0.0,0.0,16,0,42095,88.4,31,2014-08-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.022556390977443608,0.0007490977443609022,20.92876712328767,1096.0,0,0,0
5600,5600, 60 months,11.49,123.14,B,B4,West Coast Property Management,3 years,RENT,24000.0,Not Verified,2011-08-01,Fully Paid,car,947xx,CA,3.75,0,1999-06-01,0,68.0,0.0,2,0,1599,8.3,4,2013-07-01,2013-10-01,0.0,0.0,0.0,0.0,0,0.23333333333333334,0.005130833333333334,12.175342465753424,700.0,0,0,0
5000,5000, 36 months,17.49,179.49,D,D5,Harvard University,2 years,MORTGAGE,78400.0,Source Verified,2011-08-01,Fully Paid,other,029xx,RI,11.68,4,2004-05-01,3,11.0,0.0,5,0,1226,94.3,19,2012-04-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.06377551020408163,0.0022894132653061227,7.254794520547946,244.0,0,1,0
6825,6825, 36 months,10.99,223.41,B,B3,HearX LTD,< 1 year,RENT,73000.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,334xx,FL,14.56,0,1998-06-01,0,42.0,0.0,7,0,8473,67.2,25,2013-04-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.09349315068493151,0.0030604109589041097,13.175342465753424,609.0,0,0,0
2400,2400, 36 months,5.42,72.39,A,A1,Los Angeles County District Atty's Offic,7 years,MORTGAGE,130000.0,Source Verified,2011-08-01,Fully Paid,other,913xx,CA,7.78,0,1989-05-01,2,0.0,0.0,12,0,11923,15.1,41,2014-08-01,2016-04-01,0.0,0.0,0.0,0.0,0,0.018461538461538463,0.0005568461538461539,22.265753424657536,1096.0,0,0,0
6000,6000, 36 months,8.49,189.38,A,A5,AlliedBarton ,2 years,RENT,36000.0,Not Verified,2011-08-01,Fully Paid,debt_consolidation,900xx,CA,11.17,0,1993-05-01,1,0.0,0.0,13,0,13456,23.5,19,2014-08-01,2015-04-01,0.0,0.0,0.0,0.0,0,0.16666666666666666,0.005260555555555556,18.263013698630136,1096.0,0,0,0
35000,35000, 60 months,20.99,946.68,F,F3,The Hershey Company,5 years,MORTGAGE,105000.0,Verified,2011-08-01,Fully Paid,debt_consolidation,173xx,PA,13.47,0,1990-08-01,1,34.0,0.0,16,0,7517,96.4,41,2013-02-01,2014-09-01,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.009016,21.013698630136986,550.0,0,1,0
14750,14750, 36 months,7.49,458.75,A,A4,Troy City Schools,10+ years,MORTGAGE,69500.0,Source Verified,2011-08-01,Fully Paid,other,453xx,OH,17.82,0,1997-09-01,2,0.0,0.0,15,0,18208,37.8,38,2014-08-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.21223021582733814,0.006600719424460432,13.923287671232877,1096.0,0,0,0
15600,15600, 60 months,13.49,358.88,C,C2,Union Pacific Railroad,5 years,RENT,73358.28,Not Verified,2011-08-01,Fully Paid,debt_consolidation,780xx,TX,10.8,0,1999-10-01,1,0.0,0.0,19,0,13783,21.0,32,2013-01-01,2016-05-01,0.0,0.0,0.0,0.0,0,0.21265493138606847,0.004892153959989248,11.841095890410958,519.0,0,0,0
24000,24000, 60 months,18.39,614.55,E,E2,Wilmes Chevrolet Buick GMC,10+ years,MORTGAGE,110000.0,Source Verified,2011-08-01,Fully Paid,debt_consolidation,735xx,OK,21.53,0,1998-09-01,1,40.0,112.0,17,1,15757,54.5,50,2016-04-01,2016-04-01,0.0,0.0,1.0,0.0,0,0.21818181818181817,0.0055868181818181815,12.923287671232877,1705.0,1,1,0
8000,8000, 36 months,8.49,252.51,A,A5,Comm. of Mass.,10+ years,OWN,52000.0,Source Verified,2011-08-01,Fully Paid,other,027xx,MA,9.02,0,1989-12-01,0,65.0,0.0,9,0,5760,48.8,33,2014-09-01,2014-11-01,0.0,0.0,0.0,0.0,0,0.15384615384615385,0.004855961538461538,21.67945205479452,1127.0,0,0,0
7000,7000, 36 months,10.99,229.14,B,B3,The Hill at Whitemarsh,4 years,RENT,48409.6,Source Verified,2011-08-01,Fully Paid,debt_consolidation,190xx,PA,17.38,1,2005-06-01,2,11.0,0.0,17,0,4937,10.0,22,2013-05-01,2013-05-01,0.0,0.0,0.0,0.0,0,0.14459941829719725,0.0047333586726599685,6.16986301369863,639.0,0,0,0
